pos,corr_resp,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,Line1.started,Line2.started,Line3.started,Line4.started,fixation.stopped,Probe.started,key_resp_2.started,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,Fixation.started,line1.started,line2.started,line3.started,line4.started,Fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
-150,z,9,3,39,3,,,,,106.9604529000353,107.94425409985706,107.94425409985706,107.94425409985706,107.94425409985706,107.95896700001322,108.95875079999678,108.95875079999678,z,1,0.2876142000313848,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
-50,x,10,0,40,0,,,,,109.27694129990414,110.26015609991737,110.26015609991737,110.26015609991737,110.26015609991737,110.27552070003003,111.27540229982696,111.27540229982696,x,1,0.2889555001165718,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
150,v,10,1,41,1,,,,,111.59352179989219,112.57684989995323,112.57684989995323,112.57684989995323,112.57684989995323,112.59195939986967,113.59187569981441,113.59187569981441,v,1,0.3054133001714945,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
50,c,10,2,42,2,,,,,113.92691999999806,114.92517439997755,114.92517439997755,114.92517439997755,114.92517439997755,114.92517439997755,115.92497169994749,115.92497169994749,c,1,0.22677550022490323,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
-150,z,10,3,43,3,,,,,116.17667760001495,117.15984670002945,117.15984670002945,117.15984670002945,117.15984670002945,117.1751651999075,118.17494079982862,118.17494079982862,z,1,0.29936800012364984,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
-50,x,11,0,44,0,,,,,118.49346289993264,119.49176019988954,119.49176019988954,119.49176019988954,119.49176019988954,119.49176019988954,120.49158309982158,120.49158309982158,x,1,0.23105470021255314,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
150,v,11,1,45,1,,,,,120.74325979989953,121.72637119982392,121.72637119982392,121.72637119982392,121.72637119982392,121.74156609992497,122.7416140998248,122.7416140998248,v,1,0.22880770009942353,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
50,c,11,2,46,2,,,,,122.99324219999835,123.99182199989446,123.99182199989446,123.99182199989446,123.99182199989446,123.99182199989446,124.99148939992301,124.99148939992301,c,1,0.10209439997561276,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
-150,z,11,3,47,3,,,,,125.12641609995626,126.10968580003828,126.10968580003828,126.10968580003828,126.10968580003828,126.12473000003956,127.12477110000327,127.12477110000327,z,1,0.2427826002240181,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
-50,x,12,0,48,0,,,,,127.39265979989432,128.37634059996344,128.37634059996344,128.37634059996344,128.37634059996344,128.39137599989772,129.39111869991757,129.39111869991757,x,1,0.2648694000672549,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
150,v,12,1,49,1,,,,,129.67601189995185,130.65932710003108,130.65932710003108,130.65932710003108,130.65932710003108,130.67448069993407,131.67446270002984,131.67446270002984,v,1,0.21470430004410446,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
50,c,12,2,50,2,,,,,131.9091737999115,132.89272059989162,132.89272059989162,132.89272059989162,132.89272059989162,132.90763299982063,133.90765820001252,133.90765820001252,c,1,0.23410310014151037,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
-150,z,12,3,51,3,,,,,134.19166719983332,135.19082819996402,135.19082819996402,135.19082819996402,135.19082819996402,135.19082819996402,136.19076989986934,136.19076989986934,z,1,0.252858400112018,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
-50,x,13,0,52,0,,,,,136.4756713998504,137.45928219985217,137.45928219985217,137.45928219985217,137.45928219985217,137.47425039997324,138.4740891000256,138.4740891000256,x,1,0.2799245002679527,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
150,v,13,1,53,1,,,,,138.77559360000305,139.75874889991246,139.75874889991246,139.75874889991246,139.75874889991246,139.7740235000383,140.77375759999268,140.77375759999268,v,1,0.3221478001214564,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
50,c,13,2,54,2,,,,,141.12552949995734,142.10875749983825,142.10875749983825,142.10875749983825,142.10875749983825,142.12378149991855,143.12387779983692,143.12387779983692,c,1,0.05524480016902089,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
-150,z,13,3,55,3,,,,,143.20884039998055,144.2071042000316,144.2071042000316,144.2071042000316,144.2071042000316,144.2071042000316,145.206935999915,145.206935999915,z,1,0.2617665999568999,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
-50,x,14,0,56,0,,,,,145.4919732999988,146.4755062998738,146.4755062998738,146.4755062998738,146.4755062998738,146.49060210003518,147.4904273999855,147.4904273999855,x,1,0.2456551999785006,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
150,v,14,1,57,1,,,,,147.75868169986643,148.7571166998241,148.7571166998241,148.7571166998241,148.7571166998241,148.7571166998241,149.75685809995048,149.75685809995048,v,1,0.10208400012925267,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
50,c,14,2,58,2,,,,,149.8918432998471,150.89040619996376,150.89040619996376,150.89040619996376,150.89040619996376,150.89040619996376,151.89020029990934,151.89020029990934,c,1,0.16688999999314547,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
-150,z,14,3,59,3,,,,,152.07520650001243,153.07337689981796,153.07337689981796,153.07337689981796,153.07337689981796,153.07337689981796,154.0734577998519,154.0734577998519,z,1,0.2819425002671778,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
-50,x,15,0,60,0,,,,,154.37474579992704,155.35880469996482,155.35880469996482,155.35880469996482,155.35880469996482,155.373235499952,156.37332709995098,156.37332709995098,x,1,0.2700730001088232,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
150,v,15,1,61,1,,,,,156.67471459996887,157.6613636999391,157.6613636999391,157.6613636999391,157.6613636999391,157.67317269998603,158.6732767999638,158.6732767999638,v,1,0.2888162999879569,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
50,c,15,2,62,2,,,,,158.99146339995787,159.98973329993896,159.98973329993896,159.98973329993896,159.98973329993896,159.98973329993896,160.9895460999105,160.9895460999105,c,1,0.26157300011254847,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
-150,z,15,3,63,3,,,,,161.2745993998833,162.25818279990926,162.25818279990926,162.25818279990926,162.25818279990926,162.27287680003792,163.27303139981814,163.27303139981814,z,1,0.23118330002762377,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
-50,x,16,0,64,0,,,,,163.5245196998585,164.50760589982383,164.50760589982383,164.50760589982383,164.50760589982383,164.52283899998292,165.52305069984868,165.52305069984868,x,1,0.030056199990212917,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
